Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE901,1925.09,20.015144,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1925.12,20.515523,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1926.03,20.107319,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1926.06,19.922969,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1926.09,19.646444,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1926.12,19.264576,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1927.03,19.264576,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1927.06,19.119729,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1927.09,18.895876,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1927.12,18.948547,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1928.03,19.093394,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1928.06,19.277744,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1928.09,19.277744,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1928.12,19.699116,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1929.03,19.488429,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1929.06,19.42259,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1929.09,19.426663,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1929.12,19.580691,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1930.03,19.253383,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1930.06,19.06085,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1930.09,18.637275,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1930.12,18.117434,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1931.03,16.923724,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1931.06,16.307616,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1931.09,15.787774,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1931.12,16.018815,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1932.03,15.59524,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1932.06,15.152413,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1932.09,14.651824,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1932.12,14.343771,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1933.03,13.99721,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1933.06,13.99721,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1933.09,14.266757,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1933.12,14.459291,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1934.03,14.690331,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1934.06,15.017639,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1934.09,14.902119,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1934.12,15.017639,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1935.03,15.807027,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1935.06,15.961055,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
